what,when,with,where,why
Member,2019 – Present,Australia New Zealand Open Research Network (ANZORN),AUS and NZL,
Member,2019 – Present,Australia New Zealand Open Research Network (ANZORN),AUS and NZL,
Member,2018 – Present,University of Southern Queensland Athena SWAN (Scientific Women’s Academic Network) SAGE (Science in Australia Gender Equality) Submission Committee,"Toowoomba, Queensland, AUS",
Member,2018 – Present,International Congress of Plant Pathology (ICPP) Crop Loss Committee,Global,
Member,2018 – Present,GRDC Communities of Practice: Field Crop Diseases,AUS,
Member,2017 – Present,rOpenSci,,
Member,2016 – Present,University of Southern Queensland Centre for Crop Health,"Toowoomba, Queensland, AUS",
Member,2016 – Present,Australia National Plant Biosecurity Diagnostic Network,AUS,
Member,2016 – 2018,extensionAUS Field Crops Diseases Community of Practice,AUS,
Member,2013 – Present,Australasian Plant Pathology Society,AUS and NZL,
Member,2013 – Present,International Congress of Plant Pathology (ICPP) Epidemiology Committee,Global,
Founding Member,2013 – 2015,Manila R Users Group,"Manila, PHL",
Member,2013 – 2015,IRRI One Corporate System (OCS) Advisory Committee,"Los Baños, Laguna, PHL",
Member,2013 – 2015,IRRI National Employee Recognition Program Committee,"Los Baños, Laguna, PHL",
Member,2011 – Present,International Society for Plant Pathology,Global,
Member,2005 – 2007,K-State Plant Pathology Webpage Advisory Committee,"Manhattan, Kansas, USA",
Member,2004 – Present,American Phytopathological Society (APS),USA,
Member,2004 – 2009,K-State Plant Pathology Graduate Student Club,"Manhattan, Kansas, USA",
Member,2004 – 2009,K-State Agronomy Graduate Student Club,"Manhattan, Kansas, USA",
