what,when,with,where,why
Reproducibility Editor,2020 – Present,Tropical Plant Pathology,Global,
R Programming Helper,2019 – Present,University of Southern Queensland Hacky Hour,"Toowoomba, Queensland, AUS",
Guest Editor for Special Issue on Remote Sensing and Crop Health,2019 – Present,MDPI Remote Sensing,Global,
Mentor,2019 – Present,R4ds (https://rfordatascience.slack.com),,
Co-Founder and Co-Director,2018 – Present,Open Plant Pathology (https://openplantpathology.org),Global,
Member,2018 – Present,University of Southern Queensland Athena SWAN (Scientific Women’s Academic Network) SAGE (Science in Australia Gender Equality) Submission Committee,"Toowoomba, Queensland, AUS",
Member,2018 – Present,International Congress of Plant Pathology (ICPP) Crop Loss Committee,Global,
Epidemiology Section Editor,2017 – Present,Tropical Plant Pathology,Global,
Member,2016 – Present,University of Southern Queensland Centre for Crop Health Advisory Committee,"Toowoomba, Queensland, AUS",
Member,2016 – Present,Australia National Plant Biosecurity Diagnostic Network,AUS,
Member,2018 – 2019,GRDC Communities of Practice: Field Crop Diseases,AUS,
Member,2016 – 2018,extensionAUS: Field Crops Diseases Community of Practice,AUS,
Member,2013 – Present,International Congress of Plant Pathology (ICPP) Epidemiology Committee,Global,
Coordinator,2013 – 2015,IRRI Crop and Environmental Sciences Division Seminar Series,"Los Baños, Laguna, PHL",
Member,2013 – 2015,IRRI One Corporate System (OCS) Advisory Committee,"Los Baños, Laguna, PHL",
Member,2013 – 2015,IRRI National Employee Recognition Program Committee,"Los Baños, Laguna, PHL",
President,2006 – 2007,K-State Plant Pathology Graduate Student Club,"Manhattan, Kansas, USA",
Member,2005 – 2007,K-State Plant Pathology Webpage Advisory Committee,"Manhattan, Kansas, USA",
